One,Two,Three,Four,Five,Six,Seven,Final
8.977941586,5.634322923,6.606427747,7.196185677,5.896204952,6.884969016,9.192149139,5.07195008
8.198548645,7.398810313,6.653793989,7.768173149,6.793948748,8.779106001,8.964217898,5.455987585
7.849765773,7.369995053,8.476206518,6.445620558,5.05506047,5.908195112,8.301940432,5.112438314
5.866785943,6.11887844,5.304261921,8.21479938,8.262648014,6.76123598,6.359294942,8.159505845
6.886820242,6.839818331,5.019602824,7.681620111,5.176869561,8.356384841,8.488711563,8.451801386
8.750016397,5.00770173,8.024139695,6.949535882,7.372854689,8.598937374,7.551619595,6.112337196
6.394690333,7.097003616,7.025829907,8.567596891,7.97809303,6.944903323,9.479286318,6.119931905
6.049810337,5.549636642,5.22251471,7.514146176,6.635184191,6.744673181,8.599415678,6.284276246
8.466513448,5.055027036,5.637356573,8.251563471,7.90036053,8.924397937,6.956361566,6.863858446
8.989927005,5.729951129,8.049847351,7.294754489,5.019844112,8.569578056,6.294338281,5.249484577
5.425127311,7.437715244,5.618411547,5.86019355,5.417603165,7.790804478,6.405711348,6.599842026
5.016369078,5.634037199,5.107403843,7.050394992,5.215076752,6.289124959,8.998680469,8.232676063
8.448492343,8.54001694,7.611466789,6.562535825,6.394375464,6.442339923,6.146282802,7.085125801
5.17756791,7.146951396,5.44243919,7.27576865,6.796296168,6.801878149,7.551676676,5.756550781
5.480206613,8.297579821,7.698925352,5.715481111,5.078758444,7.775243566,8.577459945,8.953419699
8.821211792,6.486400607,8.505694213,5.217454708,7.449357371,7.269539007,8.805431896,6.133100938
7.655426414,5.814717147,5.928359428,6.035661145,5.173079515,6.505340735,7.463538635,8.096326425
6.505509483,5.69567639,5.409087183,5.864019472,7.267266577,8.545772666,7.826713466,8.559098632
8.329962956,7.473344259,7.630996669,5.57035352,5.544191693,6.348825819,7.154036393,7.500452097
7.725852042,7.495010203,5.693376827,5.817291491,8.959508177,8.831972307,8.883650475,7.378032764
5.165658817,6.426686911,8.327653176,8.563199934,7.562068057,5.23969527,6.952104231,8.128291841
5.593885067,6.688084333,5.353150568,6.296262025,7.456412482,7.082226914,6.828868154,8.482080147
7.731271683,5.228953564,7.810327934,7.366027946,7.117802243,7.725689944,9.796238738,6.931826841
6.482327445,8.374181511,8.054847243,7.11842308,6.804582857,5.952140803,6.873571313,7.673362901
7.248031439,7.767638297,7.681813926,8.769108175,5.351312684,5.108578807,8.047723989,5.577905457
8.399652966,6.985868789,8.742072018,7.941761311,6.832321622,7.937125893,8.488257942,5.991677266
6.190268617,5.919365531,5.23526065,7.823285636,5.499513301,7.600989376,7.403357652,8.14460115
7.742105836,5.468792292,7.820031354,7.710493028,6.059720794,5.481822039,6.698950298,5.265745178
5.586332486,8.483385947,6.86434007,7.134023747,6.32098334,8.986372516,7.977665982,6.146180197
6.180296715,7.290391022,5.275026378,8.525906314,7.853944532,7.980666897,7.858055804,7.479967642
7.339622215,8.961380976,8.871972453,7.849557004,6.153759178,7.675488539,9.938766053,7.996786179
6.016324484,7.558562713,5.293489995,5.934366878,8.957969319,5.80937776,6.225997956,7.563934876
8.497109757,7.16917145,8.664799494,7.958821269,5.410391444,5.899231646,6.854301729,7.958584127
6.63980075,7.861082198,8.658360219,5.385297409,8.370308731,6.240345177,7.140552983,6.954855022
7.352802682,8.541169341,5.420869756,7.818586749,8.508077972,7.420586509,6.712871974,8.509675052
5.877360993,6.50901144,6.073792514,5.431693175,6.13422072,8.583818022,9.537827783,5.049920169
8.854148368,8.304062362,7.551410536,8.714581587,7.043574701,8.433571845,8.196384812,6.217226261
7.724119907,7.276257127,5.688321616,5.269908403,6.807920189,8.104853797,8.805118716,7.569089026
8.316922049,5.477157522,7.348809216,5.975509245,5.633088925,6.232194206,8.187767674,5.126939808
7.935040338,8.001269065,7.213755172,8.75588419,6.93261512,6.123873737,8.870891126,8.508326998
8.818071828,6.061661264,8.176720549,7.44414439,7.512054745,7.976900915,7.562965332,8.321481055
8.659643583,6.833581836,5.982116803,5.262425134,5.671025185,7.058942898,8.480315661,7.099831612
5.672999515,6.37748667,8.542999497,7.294444233,7.076166607,6.140491101,9.540110492,8.85674919
6.803892228,5.340228482,7.361606733,6.380693933,6.389328608,5.049200063,6.298526899,8.08051224
5.920960081,8.801883915,5.373909389,7.296945974,7.967165003,5.900597143,9.896871084,7.510725272
6.141977438,8.958457409,5.683362915,7.176689318,7.494793757,8.608096536,9.591644799,7.585800139
6.059407572,8.312113234,6.535886664,5.507416369,5.014068117,5.896009825,8.241850217,6.287675627
7.954264265,7.702627089,7.584236756,8.968761122,7.223963401,6.747885349,7.002597966,6.243519625
7.314495853,8.091065048,8.809566343,6.479988163,7.34651085,6.123625536,7.024480816,6.779044829
5.988761107,5.606231378,8.557677939,7.593644402,6.823495186,8.652732137,9.415837736,6.920966256
6.508992598,6.064678029,5.767832764,5.048122498,5.430876601,5.307450046,9.627693544,7.546131389
7.738903191,8.876668837,5.048889371,8.400435664,8.50988823,6.867263636,8.570600271,7.026939564
7.08674867,8.19472791,5.08481801,6.110535871,8.651166979,6.537895705,8.27383982,6.587480157
6.218591878,5.198341674,5.620881181,8.465736533,7.306334796,6.638971562,8.71727947,8.401070123
5.300043019,8.116381934,7.071105086,8.379247036,7.592283369,5.409460079,6.190882355,8.979272568
6.777397801,6.83932036,5.860605413,8.121125337,6.417495175,8.286360966,9.534785343,8.848029931
6.324699942,5.465175319,7.489585767,5.154137501,7.42524669,6.098012329,8.285266663,7.757989511
7.265953202,7.24235005,5.754831927,6.633906203,7.894439717,8.279162074,9.150715974,8.46320363
7.992624945,5.741607706,8.359725205,6.34294874,6.759219383,5.597851914,7.750337229,8.595866949
5.053176046,8.831332437,6.28361278,8.641501239,6.020753784,6.647325303,6.962056479,8.769120857
6.411070376,6.744532534,6.182430024,6.035762405,5.973153298,7.989821724,8.467334653,6.778725294
5.956537739,5.964932968,5.407044294,5.113746828,5.890761944,5.638819603,8.790833176,6.403925575
5.587697972,5.547435307,8.415706299,7.768332883,8.617362668,8.534643484,9.87151317,8.010895874
6.527378651,7.916940086,6.78264878,7.4156153,7.837065002,5.36796276,9.375998521,5.498789187
7.08069157,6.81950508,6.940873368,7.65610635,7.65866049,5.862925628,6.101851071,8.472741706
8.20460714,8.906656217,6.082488961,7.511097889,7.292262586,6.300783412,9.065087258,8.64797063
8.611356114,6.709842902,7.858391423,7.665709028,7.212308989,7.056400929,6.580419875,5.776251723
5.095673856,6.877559469,7.919476755,8.509743498,5.252734311,6.799673734,7.7452347,7.616094669
6.22887102,7.282734344,7.336179905,6.342633119,8.815071196,7.025416578,8.871807121,8.809826927
7.877881178,5.264788158,6.759937629,7.596468281,7.453165733,6.102207568,6.368532031,7.452592541
5.972187558,8.626249002,8.776487501,8.843634702,5.463586662,7.697525146,8.36082011,6.557180814
7.973485644,5.986862339,6.859072442,8.977842712,7.201005157,7.927904053,6.79946721,5.574639132
7.903455302,7.377718682,5.235445844,7.77539891,7.304755541,8.294086701,9.736670828,7.898438793
8.215543634,6.302376464,5.62525083,8.677711412,5.355903512,5.58636625,8.393021719,6.910622776
8.294284781,7.22845144,5.926170059,8.000974184,7.954922109,5.719290069,7.825666994,7.273884493
5.767884752,7.888241575,5.228693741,6.389932228,5.22928797,8.085397625,6.873255392,6.228752716
5.384192236,7.838009238,5.54011875,5.869308998,6.416973284,7.748539106,9.097792683,7.967629098
7.933044567,8.4340748,6.187226492,8.028865301,7.307591967,5.315642031,9.19081844,5.782007598
5.927875195,5.898546167,6.814970162,5.915102981,6.207576753,8.321831892,8.073967857,6.981473096
6.656260148,7.308608855,6.071546217,7.873518755,6.116371148,7.08914682,6.323627326,5.250047462
6.302495578,8.63753954,6.738310864,6.019238388,8.300107975,8.942245624,9.144593295,6.219333778
8.812924203,7.511264688,5.227264822,5.979136163,5.79053131,5.597812795,7.953583759,8.35856091
8.199862404,7.516518875,7.179570075,7.17116983,5.023387064,7.293952587,6.52628571,5.917034082
7.871476357,6.14924067,5.333510618,6.328122601,5.077107512,7.842708944,8.679335528,8.480276784
5.436210166,8.626212152,5.97305216,8.95135586,7.083421058,6.079565159,9.425746427,8.247008434
8.115971552,5.47458004,5.909896729,6.732125994,8.111162162,6.821850965,8.384309674,6.783686057
8.252544529,8.891242772,6.412929557,7.126498523,8.327236143,8.849618385,9.746145621,7.661697618
7.168420673,5.584105446,8.262803085,6.647075215,6.322410903,8.236176785,8.278080071,6.433194798
8.626087604,8.243768961,8.193222409,7.399666735,7.537926042,5.074015483,6.829120473,8.353690043
6.813157808,6.993946169,7.310127369,5.115892622,6.151640961,7.51487984,7.799582644,8.680657653
8.44088159,8.278935818,6.900706707,8.749086714,5.229661361,5.148652202,8.347900797,6.095244891
8.09632774,5.942428123,5.282593456,7.721988676,7.196720243,7.139547123,6.547280996,8.731822838
8.956662092,7.171884256,7.57358899,8.255124089,5.370562786,5.719707427,7.248439469,5.8090777
5.320704492,7.443247874,8.472106283,7.354209281,5.57223362,8.253719683,8.450770598,7.655318284
6.441650712,5.849207828,7.969835483,7.838772436,8.952941188,7.28890046,7.444075907,6.344451375
5.943939252,8.844213307,6.33791989,7.482785975,8.578226506,5.828224019,6.178446936,7.395455616
5.411876742,5.033781474,7.177902918,5.05287592,5.615065323,5.488107312,6.80451571,8.648670271
7.831571074,5.185294419,7.2393535,5.935000886,8.457082265,8.157267691,8.908323926,7.524170876
7.001505921,5.724724373,8.450477335,6.232474926,6.676244588,6.518793987,7.402968304,6.404019365
6.851700622,6.0912386,7.297296602,7.820919706,6.423274805,8.582786536,7.531759888,7.690279402
6.032882743,6.357069662,5.233513212,5.405697733,5.411052573,8.048501557,6.093626618,7.781916318
5.438712863,6.38800625,5.610130166,7.656908057,7.837143442,6.355465734,9.661271889,5.32671748
6.813649671,5.449985778,7.760617158,6.569639643,6.428311963,8.8294837,8.464542936,7.663578672
8.484090045,7.263419048,5.060309825,8.277307939,7.606482651,6.979730525,6.903776492,7.810912958
7.53061629,8.697388858,8.562394452,8.902206824,5.553227654,6.077946436,6.600596166,7.971197448
6.095542107,8.059542395,5.963088703,5.601087856,6.647339671,8.551874604,6.758622594,7.387460963
5.863375855,8.925204069,6.24351337,5.152441016,5.81042387,5.475705599,7.931111545,8.532152926
8.102089415,5.06053357,5.458474924,5.486592067,6.533920196,6.751715784,6.940824629,5.632561351
6.366189721,8.964587759,5.539874251,5.362154885,5.333376259,7.763657254,6.317328281,5.778693872
6.014968494,8.983054197,8.327144125,7.902068783,8.837249371,5.817290927,8.01706933,8.675289088
8.704106886,6.004028311,8.859743213,7.300493443,8.281826763,8.654019707,9.452680199,5.535650082
6.905951868,6.797414571,6.362778963,7.55928911,7.994357404,8.1413512,6.877691919,6.346546651
5.278964535,7.54190267,7.275328455,6.567252187,5.062447571,6.268200259,7.317512315,8.31465438
7.457848349,6.209285356,6.199212489,6.529503002,7.649120043,6.82973911,7.215245687,6.052476504
6.557814415,7.598412745,5.275766828,6.648606088,8.728757194,5.927198311,9.44876339,5.786033491
8.762537631,5.094315007,6.985592864,8.660334208,5.125891931,8.975754041,9.794076153,5.129269062
8.851444143,7.595305088,8.343953654,6.205909939,8.338984396,7.887416647,7.62021258,5.612521259
7.465796375,7.332935502,7.895428592,8.564610384,5.573377913,7.556889395,8.597937156,6.317385476
8.865621791,6.684833229,5.498768151,6.752655232,5.615522662,6.308015994,7.946480497,5.412094922
6.749774557,6.075671031,8.478245721,8.043884989,5.576940529,8.11313873,6.345619038,5.844391962
8.363254005,8.811317309,6.149345891,7.197670495,5.984137261,7.815690331,9.960147364,8.247106356
8.314227576,5.589893613,5.017720624,5.944512577,7.456179146,7.586407806,9.93041038,5.602013104
7.408996435,8.916435426,8.787681304,5.363317998,7.247033402,8.125426002,8.952140051,7.536919242
8.415036625,8.695400818,7.05714074,6.176711582,7.412964955,6.113453927,7.410545114,7.203488625
5.966551897,5.47428514,5.241672304,6.417693653,7.767143322,8.071777667,8.673561773,8.13556627
8.328943791,8.387032141,6.757521215,7.656800632,8.893284288,7.368886992,6.590294725,7.070112422
7.331683219,7.575934186,7.811562768,7.068885858,5.771637772,5.223109072,7.776461878,6.979164009
6.931559264,6.412223286,5.01223604,8.753444044,7.843574617,5.619210483,6.049510613,7.169194659
7.191289834,7.383473391,5.764752246,8.668463425,7.828084504,6.778384357,7.70891011,6.566487172
7.697213015,8.081564884,8.710130024,7.324964842,5.028051082,5.171202262,9.675524623,5.330250887
5.109795385,8.196789247,6.752194939,7.408928953,8.223834124,8.196503004,8.676753864,5.998359811
7.403401634,5.624331162,5.996158618,5.502114733,7.007140017,8.058305368,6.254926055,6.004441425
5.011225477,8.786311898,8.496310234,5.160413276,6.714654192,5.260899598,7.168817122,7.920703284
7.229209083,7.071588278,6.211328776,7.524501548,6.930965148,5.219732341,9.520934224,5.701248444
6.644664057,5.786399195,5.425402636,7.697062368,8.168352768,8.796980895,8.305712542,7.205117766
6.487041223,8.962671638,6.437715549,8.943762498,7.269084278,5.922195195,7.505360105,7.003850942
5.659224905,8.66770444,5.692162478,8.668058279,7.645772972,6.662012399,9.688557878,5.370488265
6.641662973,5.791830009,6.466410811,6.876768938,6.233469303,6.535380278,7.187311971,8.953657678
7.462594239,7.261070233,8.509344966,6.062711929,5.484293425,5.044040772,6.420395867,7.536471915
5.712602721,6.514241714,8.270257124,6.821338668,8.688744448,6.789986346,8.161332696,5.34925162
8.181304318,8.706711961,8.467257029,7.37107305,5.529946948,5.180661815,6.743841218,5.089948286
7.518518745,6.241859865,8.349786915,8.83736432,5.325099369,5.769771436,9.441830524,8.514465333
7.798392588,7.511013398,6.227254154,7.523558632,8.30827077,6.462763073,6.118425334,8.759801861
8.205966215,5.066084666,6.45097151,6.876840613,8.981013227,6.721722525,6.070094952,7.583896913
8.484561636,8.843492467,8.895396682,6.506916957,6.184421151,8.995223954,6.549327162,5.749233101
8.842440635,7.832297941,7.496472785,7.73734414,5.720613743,6.888524646,8.352240187,6.875426449
6.553530677,7.156936642,6.137971217,5.37290529,6.738192913,7.889534469,7.923855606,8.765509282
6.012539493,5.369929707,6.549147611,5.589016745,7.596543229,7.491417158,6.982836062,6.478562148
8.683510288,8.922981447,5.295862816,5.52641854,7.49186624,8.508084015,9.063936009,6.972932646
7.633081715,8.289296599,6.563178204,7.216030035,5.858088624,5.510049989,6.458523863,7.581974796
7.037982582,7.765579018,6.405531286,7.928755318,7.404152712,5.957012425,8.133479796,7.837665982
6.497611324,5.637370127,6.447876152,6.242634144,7.728297385,5.771381103,6.89766688,6.145958518
8.224480847,7.384760765,5.714168484,5.881017162,7.031019079,7.748594629,7.815682807,7.930472347
6.791888421,5.147159055,7.600275874,6.965557547,7.639889901,5.184967733,8.666361785,7.384505392
6.176003934,5.551217076,6.38369189,8.079499804,5.350333699,5.184789243,6.837470608,6.485178807
7.132396054,8.415657598,5.339145127,6.361773642,7.401026759,6.227567874,7.117649799,5.780617582
6.415614612,6.383816282,5.127819232,8.469788449,6.832762396,7.622009609,7.233411567,8.082142717
7.118687958,6.841259546,7.345888331,5.053420026,5.033493719,5.292646379,9.919265686,6.599824852
5.095165281,8.364077201,5.332624627,8.094086644,5.214542722,5.605354856,7.436041792,7.224353387
5.109218868,6.415406618,5.116764383,8.752968012,6.73316332,6.479217365,7.243241975,8.286652768
7.272521578,5.383609122,7.159617582,5.143267985,7.723091337,5.024309431,7.955456225,8.615649089
8.381626439,7.479893743,8.743441657,6.009178893,5.108270035,6.71541334,6.653830582,8.780292485
6.022708337,5.074709915,7.466122427,6.900990606,5.440215188,7.07214472,7.513303764,5.455297102
8.613132144,8.339154559,6.798276172,5.47685376,5.460007048,7.747063508,8.797860891,7.159131941
8.037153218,8.808191475,5.048719195,7.265590679,7.226074076,5.81312729,7.848395026,7.956330188
6.98897863,8.532639695,8.157391059,8.873656208,6.343361581,8.838279369,7.304648885,6.972520648
6.067731917,5.081611452,6.394618443,6.109000805,5.013437,8.333843534,7.18159159,7.486555224
5.178610158,7.583088063,5.99207139,8.402626369,5.821454284,5.778191978,8.14199259,6.951053402
6.42631259,7.620883349,8.095066213,8.214832405,8.11312069,5.11575707,8.981071964,5.587761522
5.189690647,7.782114339,5.356243078,7.035279995,5.157502808,8.02474915,8.296336659,6.168613708
8.674345678,6.508739568,6.662573083,6.289408016,7.03675592,5.470024295,6.380556286,8.351596366
6.306145718,6.279848932,8.345384452,7.825364906,5.530205328,8.552701658,7.696815926,5.047852111
8.713273548,7.795172669,8.15061947,7.912117909,5.103941551,6.768445352,7.472895417,5.625381384
5.439258953,8.469579911,6.383500834,5.476799952,6.807817791,6.820594038,8.241317796,7.232265167
7.490770426,6.73175087,6.108970474,8.68187942,6.270976107,5.310101547,8.017627906,5.932606057
7.439012303,7.504530414,7.488305223,7.264354308,6.955080615,6.309432958,6.158011775,8.257833648
7.839621882,5.632414201,7.192693616,7.070040708,5.928432388,5.40441046,6.074620752,6.802170502
5.26054899,8.956615148,8.647362154,5.705481187,5.791373241,7.405523132,6.097764957,5.513333286
7.990658303,7.769173256,7.296685572,7.922933762,7.684774692,5.974633184,8.505131667,7.935039077
5.033008861,8.180202153,7.872227917,7.14343071,5.74627011,6.811413201,9.707059335,8.417255523
5.464600412,7.327696859,8.216986796,8.059583598,8.513507242,6.463530362,7.149039301,8.078532698
7.323219565,5.272720251,6.922410831,6.037740923,6.862682171,8.039851612,9.315593439,6.652260094
5.86564421,7.400875774,7.974983667,8.291415862,8.248318364,5.771551297,7.735994347,8.590888636
6.336744085,5.481057891,7.969609596,7.441357815,8.876813997,8.567468673,9.900172928,5.960452293
6.648280482,8.848973249,5.145086671,6.438109928,8.276972634,6.992263509,7.781598589,6.198778046
5.133468674,6.873331301,8.046903954,8.481823646,8.741462077,8.897632581,8.630912696,6.562230751
8.071365398,6.242971285,5.123929635,5.45758926,8.017092635,6.726616223,9.39709323,5.26852896
6.452588463,7.717413604,5.046734055,7.419136103,6.823544766,6.841478,9.942043821,8.253112433
5.048147563,5.44643215,8.77313402,7.480068457,6.421867898,8.53516567,7.757938862,6.733136084
5.317199782,7.140036679,6.165610104,7.961366517,6.632302078,7.337828652,9.770101083,8.538542765
8.394016759,7.827252715,6.53571058,6.434700278,6.135385461,6.373194155,9.677740028,7.8850626
8.035892238,5.742776769,7.73338441,6.932222554,5.010893573,6.645585584,8.643816507,6.568302418
7.648703071,7.494774766,6.88038045,5.084713927,5.957808246,6.266580381,9.250409744,8.720819966
6.213853375,6.890784168,7.051722359,6.1966498,5.453828444,6.989380344,7.79522089,7.729994553
6.330354463,5.191377883,8.17090742,8.454379329,6.901144203,5.653321034,8.503831261,8.011705216
6.153917673,5.310532686,5.676460924,5.728858551,5.787216007,8.140572945,9.842113399,8.213822541
8.993959487,8.084850232,6.713583946,7.2692661,6.682441072,7.386987936,8.175642737,6.446622159
5.249651989,5.070330653,8.392915766,8.580302373,7.582519919,8.493814567,8.946834146,6.560653808
5.399096536,7.039357641,8.907730686,5.814277876,7.794214253,8.30603028,9.949699789,5.931231929
5.257071512,6.43171343,7.962656827,8.183649808,8.114609645,8.585780845,8.757667569,6.017149983
5.374746854,8.012241767,8.809018588,8.198868748,6.016446091,5.450756983,9.150206124,7.586534728
5.785550203,5.331800462,8.631571645,6.591328083,5.332564444,6.806133799,8.558599639,6.880588059
6.993211803,7.239378914,5.938592874,5.891560098,7.159584533,7.805938419,7.024641783,8.424572109
6.832283981,5.452322605,7.324615812,7.819980511,7.414403774,8.183455782,6.724538975,5.974391862
6.922566139,5.999250106,7.756666292,7.262650596,6.091317208,8.188753703,9.899152078,7.325809649
5.057434567,6.201107418,7.352541754,6.845985267,8.131613212,5.606697083,8.029179159,6.43192409
5.775038481,8.67239678,5.470566997,5.064170184,5.731721703,5.035076199,9.813022437,6.94746529
8.067824989,6.048713815,7.87560826,6.873260956,8.865281941,7.984827633,7.420739512,8.098621006
5.862910691,6.37407775,5.762108976,8.535175782,6.961605665,7.120037493,7.002850358,8.506402819
8.738256152,8.732029992,5.038510985,6.983465258,8.819677759,7.8068677,6.875314941,5.965215382
8.543375152,7.05484347,8.2286888,7.740109092,7.551334975,5.544532249,8.703005568,7.154043885
6.98224907,5.67647835,8.632017633,7.274152311,8.427807706,6.553545776,6.471097939,8.071461454
6.755438719,6.266910874,6.567718649,6.281859836,7.301073484,6.593311974,7.103631815,8.96026053
7.486185449,6.261191295,5.852652228,8.314928593,7.002449438,7.628741659,7.144047389,5.933508505
5.859392453,8.412442435,6.686803721,6.862981905,6.177488192,5.879743605,8.920332536,6.012991558
5.262021893,7.954616758,8.197268976,6.642372058,6.536032517,6.564331668,6.142148107,7.438872828
6.856743366,5.911416205,7.207577672,5.739025022,6.373699858,6.923465179,6.601576094,7.195911349
6.335332576,7.64978834,7.559481555,7.11682322,8.704591376,8.42808247,8.934424064,7.574185239
8.290193322,6.653502591,6.920477342,8.942405126,6.216926024,5.370279473,6.265496886,8.12159199
8.276075529,6.576986073,6.489047784,5.129601164,5.515468123,5.215456776,8.302262155,8.121331652
6.058333369,8.863149909,5.632066765,7.337505303,5.410476276,5.29402644,9.481215909,6.271333498
7.413362997,8.461319734,6.045947249,6.620812548,8.166969506,6.259657886,7.067975788,6.226109964
5.385496187,7.646941725,8.775037758,7.534570436,7.913454011,5.885498935,8.444736985,7.68599164
7.368950842,7.605206704,8.636257533,6.854253712,6.718743973,6.547318522,7.542601841,7.257993016
6.518331892,5.960828967,8.398428607,8.92459622,8.302872225,7.905185869,9.290069571,5.717312778
7.305846869,8.00249572,6.726802953,6.979415402,7.226309429,5.827762632,6.899149381,8.261751047
7.593600266,5.326270182,5.905257446,5.728062763,7.764487342,7.506685542,6.736949738,8.330583698
6.481228109,6.787459872,7.625613013,7.578694787,6.591975241,5.813985064,8.901490242,8.411799764
7.894856413,7.47942087,5.741017586,8.343899558,7.188528152,5.275029684,7.086773139,6.699241354
5.769891946,5.622266192,7.684433002,5.649146444,8.121247355,5.466754869,9.591567371,7.186936031
6.242749157,6.614595524,8.41266528,7.729316516,8.181500497,6.712626888,9.899640134,8.936392078
5.088997927,6.968250107,6.16478793,7.572294934,8.797609006,6.26973425,9.107293669,8.495681135
6.245591585,8.222176674,8.268227533,8.555312295,8.130891219,7.262802799,6.421750857,6.860642576
7.171505386,8.846369474,8.41886196,5.580816289,5.080492364,8.903209124,6.498864567,8.837687682
5.564566392,5.704012844,5.436559579,8.795783661,5.228407498,6.983678281,6.469091748,8.881497452
7.524365504,5.684660873,7.519406396,7.045953155,7.846666849,7.111429167,8.383185647,7.531604024
8.16074275,5.647505653,6.214946396,6.441519621,7.014136182,5.516945459,9.266904791,7.130319804
5.427339729,8.130374455,6.464722932,6.794607515,7.166185327,7.723267829,6.365630929,6.444717615
6.507896722,7.616417608,6.055267251,6.219934415,5.672009908,6.761628458,7.908744877,8.686079058
6.833529358,7.257216091,6.336929952,5.235328907,8.437192889,8.413728723,8.976041126,8.112670811
